SubjectID,researchdate
1585271561337012029,2025-07-09
1585271561337020061,2025-08-26
1585271561337020061,2025-09-01
1585271561337020061,2025-09-03
1585271561337020061,2025-09-04
1585271561337020061,2025-09-05
1585271561337020657,2025-08-14
1585271561337020657,2025-09-22
1585271561337023406,2025-09-17
1585271561337023951,2025-08-13
1585271561337023951,2025-09-29
1585271561337024794,2025-07-20
1585271561337025775,2025-06-21
1585271561337025775,2025-08-09
1585271561337026298,2025-07-29
1585271561337028235,2025-06-19
1585271561337032846,2025-10-19
1585271561337034979,2025-06-08
1585271561337034979,2025-08-02
1585271561337034979,2025-09-24
1585271561337034979,2025-09-25
1585271561337034979,2025-10-13
1585271561337034979,2025-10-21
1585271561337036299,2025-07-07
1585271561337036299,2025-07-15
1585271561337036299,2025-08-15
1585271561337036299,2025-10-11
1585271561337036442,2025-06-13
1585271561337036739,2025-09-12
1585271561337037325,2025-07-15
1585271561337038249,2025-07-01
1585271561337038249,2025-07-06
1585271561337038249,2025-07-10
1585271561337038249,2025-08-10
1585271561337040624,2025-06-19
1585271561337041337,2025-06-22
1585271561337041337,2025-06-25
1585271561337041337,2025-07-14
1585271561337042033,2025-09-05
1585271561337047436,2025-09-15
1585271561337047893,2025-10-27
1585271561337048914,2025-07-24
1585271561337050126,2025-09-07
1585271561337050448,2025-06-18
1585271561337050448,2025-10-03
1585271561337051847,2025-10-12
1585271561337052854,2025-09-25
1585271561337054434,2025-09-29
1585271561337054434,2025-10-08
1585271561337054434,2025-10-16
1585271561337054434,2025-10-21
1585271561337054434,2025-10-23
1594287976076177216,2025-08-25
1666343015431464640,2025-08-19
1666343015431464640,2025-08-21
1666343015431464640,2025-10-05
1666345625407870272,2025-08-27
1666345625407870272,2025-09-21
1666345625407870272,2025-10-27
1729388589032331985,2025-06-03
1729388589032331985,2025-06-04
1729388589032331985,2025-06-05
1729388589032331985,2025-06-06
1729388589032331985,2025-06-08
1729388589032331985,2025-06-09
1729388589032331985,2025-06-11
1729388589032331985,2025-09-06
1729388589032331985,2025-10-10
1729388589032331985,2025-10-12
1729390231323623488,2025-06-30
1738401046313161600,2025-06-24
1738421652124963520,2025-08-27
1739916987938841344,2025-09-24
1873514497487928217,2025-08-06
1873514497487928217,2025-08-28
1873514497487928217,2025-09-07
1873514497487928217,2025-09-08
1882516134850618573,2025-07-25
1883917688565411456,2025-09-14
1954572816503618427,2025-07-21
1954573939019829505,2025-06-06
1954574044080790082,2025-06-04
1954920702784737664,2025-09-22
2017618760585040015,2025-09-06
2089678234678291312,2025-07-11
2098689093918505280,2025-09-14
2098690033949114112,2025-06-30
2098735651169564096,2025-09-25
2098735651169564096,2025-10-18
2233791780476071135,2025-06-30
2233791780476071135,2025-07-02
2233791780476071135,2025-07-30
2233791780476071135,2025-08-31
2233791780476071135,2025-09-04
2233791780476071135,2025-09-07
2233792554604317953,2025-08-30
2233792637557835906,2025-10-10
2242804895778101824,2025-09-25
2242804895778101824,2025-10-17
2242804895778101824,2025-10-20
2242805481916280257,2025-09-12
2242869852638387712,2025-10-14
2242869852638387712,2025-10-16
2242869852638387712,2025-10-21
2242869852638387712,2025-10-26
2305848744076622362,2025-06-22
2305850098877774736,2025-08-20
2305850098877774736,2025-09-27
2316166949196710976,2025-10-15
2377907662666834967,2025-07-12
2386920338217062273,2025-10-23
2388593940434537216,2025-08-27
2388593940434537216,2025-09-05
2449965110012013004,2025-07-06
2449965110012013004,2025-07-08
2449965262016764108,2025-10-28
2458979132178470784,2025-07-04
2531033574337163656,2025-10-23
2531033574337163819,2025-10-20
2531033574337164798,2025-08-10
2531033574337164798,2025-09-25
2531033574337164798,2025-10-29
2531033574337167351,2025-07-09
2531035227693138307,2025-07-03
2532085048313851392,2025-10-01
2594080439968917002,2025-09-07
2603089841281918144,2025-08-08
2666135989930538395,2025-08-15
2738194092690288910,2025-08-28
2738194092690288910,2025-10-28
2738194092690289025,2025-10-11
2738194092690289068,2025-07-04
2738194092690289087,2025-08-28
2738194092690289674,2025-07-08
2738194092690289674,2025-08-20
2738194092690289674,2025-10-18
2738194092690289729,2025-06-28
2738194092690289798,2025-07-01
2819265587255210048,2025-07-31
2820368256337542656,2025-10-01
2882310110228255577,2025-10-19
2882310110228255577,2025-10-20
2882311337796875265,2025-08-06
2882311520272393920,2025-06-05
2954367870147815492,2025-10-24
2954367870147816270,2025-09-30
2963380775332161280,2025-06-20
2963380775332161280,2025-06-22
3035438502080357056,2025-08-26
3035438502080357056,2025-10-20
3035438529728160640,2025-06-25
3035438529728160640,2025-07-09
3035439740714155136,2025-07-24
3036777244507937536,2025-10-29
3036777244507937536,2025-10-31
3098483135638258628,2025-10-27
3098483135638259014,2025-08-28
3098483602160404120,2025-10-01
3107495819638266880,2025-10-31
3107497533813582784,2025-09-24
3179553159315036544,2025-08-25
3251609575546333699,2025-09-18
3251612439879604416,2025-10-04
3251612677654324864,2025-06-15
3314657355444378182,2025-08-13
3386714639829445888,2025-09-15
3386714877606070081,2025-08-21
3395728048205572672,2025-09-07
3458771572229117194,2025-08-08
3458771572229117194,2025-08-09
3467783911479848960,2025-07-07
3467783911479848960,2025-08-05
3467783911479848960,2025-09-09
3467783911479848960,2025-10-05
3467784160333701762,2025-10-01
3469229362709694016,2025-07-20
3530830214969607432,2025-07-04
3611898983435468034,2025-09-02
3611898983435468929,2025-10-04
3674944142301961984,2025-06-25
3684346221097551104,2025-07-12
3684346221097551104,2025-08-31
3747000630363940378,2025-08-13
3747000630363940378,2025-08-30
3747000630363940378,2025-09-03
3747000630363940378,2025-09-06
3747000630363940380,2025-10-08
3747000630363940576,2025-10-20
3819059496266608833,2025-10-23
3819059905448884510,2025-06-17
3828751370547352448,2025-06-21
3828751370547352448,2025-06-26
3828751370547352448,2025-06-28
3828751370547352448,2025-08-15
3891115984388077661,2025-06-29
3891117339130576500,2025-08-19
3901143088939080448,2025-09-02
3901231049869308352,2025-08-05
3901231049869308352,2025-08-08
3901231049869308352,2025-10-14
3901257438148375808,2025-10-11
3963174911056333763,2025-09-03
3963174911056333763,2025-09-15
4035232106963127754,2025-06-26
4035232106963127754,2025-08-18
4035232106963127754,2025-08-23
4107288419676846091,2025-10-11
4107288419676846091,2025-10-24
4107288419676846091,2025-10-25
4107288419676846176,2025-10-02
4107288419676846194,2025-08-15
4107288419676846194,2025-08-27
4107288419676846194,2025-08-28
4107288419676846194,2025-08-31
4116348389294694784,2025-08-13
4116938418784426305,2025-07-21
4179348185308884928,2025-10-06
4179348185308884928,2025-10-07
4188356816114176577,2025-06-19
4188358270391977168,2025-09-25
4260416422919966855,2025-06-26
4260416483740630784,2025-10-11
4332475006756913344,2025-07-09
4332476682224605632,2025-07-27
4332926112403708992,2025-06-30
4332926112403708992,2025-07-02
4332926112403708992,2025-08-10
4406223391538753408,2025-08-07
4467577889871891790,2025-10-17
4476591665707205376,2025-08-08
4539635606295686581,2025-09-11
4548647573216189508,2025-09-12
4548647573216189508,2025-09-28
4548647573216189508,2025-09-29
4611694214010660315,2025-08-22
4621288485247139456,2025-08-06
4621288485247139456,2025-10-26
4683751454157203678,2025-10-05
4692759896965140290,2025-06-02
4692759896965140290,2025-06-03
4692759896965140290,2025-06-04
4692759896965140290,2025-06-11
4692759896965140290,2025-07-09
4692759896965140290,2025-07-29
4692759896965140290,2025-07-30
4692759896965140290,2025-08-01
4692759896965140290,2025-08-11
4692759896965140290,2025-08-18
4692759896965140290,2025-08-29
4692759896965140290,2025-09-01
4692759896965140290,2025-09-29
4692759896965140290,2025-09-30
4692759896965140290,2025-10-05
4692759896965140290,2025-10-06
4692759896965140290,2025-10-07
4692759896965140290,2025-10-20
4692759896965140290,2025-10-21
4692759896965140290,2025-10-25
4692759896965140290,2025-10-27
4693213739758153216,2025-08-19
4694269270920854528,2025-07-28
4694269270920854528,2025-08-12
4755806029018135186,2025-09-16
4755806029018135186,2025-10-20
4764817325728903810,2025-06-27
4764817325728907200,2025-07-18
4764817325728908033,2025-09-17
4764817325728908033,2025-09-26
4764817325728908033,2025-10-02
4764817325728908033,2025-10-21
4827866083748751168,2025-10-26
4837259759342887489,2025-09-16
4899922101829706304,2025-08-02
4899922101829706304,2025-08-14
4899922101829706304,2025-10-09
4908935609760525954,2025-09-11
4908935609760526337,2025-07-14
4908937353777222017,2025-10-28
4980991965168188033,2025-07-07
4980991965168188033,2025-08-20
4980991965168188033,2025-08-21
4980991965168188033,2025-09-24
5044039385649898752,2025-07-28
5044039385649898752,2025-09-05
5044039385649898752,2025-09-11
5044039385649898752,2025-09-15
5044039385649898752,2025-09-19
5044039385649898752,2025-10-20
5044039385649898752,2025-10-31
5053051190437830144,2025-06-15
5053051190437830144,2025-08-01
5053052694490078976,2025-08-21
5054144278165766912,2025-08-07
5054768684649409472,2025-08-06
5116095829525861647,2025-08-05
5116095829525861647,2025-08-21
5116095829525861647,2025-09-25
5125106987349937950,2025-10-23
5197164996113048095,2025-09-27
5197164996113048095,2025-10-22
5198136641676584448,2025-09-21
5269222534854845313,2025-10-28
5269222877690299145,2025-09-16
5269222877690299145,2025-09-27
5269224956824505472,2025-09-30
5269224956824505472,2025-10-11
5269824042523099520,2025-09-21
5270070211184864256,2025-06-24
5332267584642577160,2025-09-07
5332267584642577280,2025-07-15
5332267584642577280,2025-10-19
5332267584642577308,2025-10-15
5332267584642577320,2025-09-04
5341282584036789312,2025-10-12
5404326610889164485,2025-07-13
5404327400063577413,2025-08-27
5413337214202460504,2025-09-02
5413337214202463640,2025-08-18
5476385132355153731,2025-10-28
5548441990942654369,2025-09-02
5548442020957777681,2025-10-27
5557452949714472260,2025-10-15
5629511129885831680,2025-10-12
5629511450608998465,2025-10-18
5629511854270500800,2025-06-26
5629511854270504897,2025-09-15
5629511959330150400,2025-06-13
5629511959330150400,2025-08-11
5629511959330150400,2025-08-22
5629512838538415361,2025-10-31
5692557201135915351,2025-09-03
5764614858704116186,2025-06-04
5764614858704116186,2025-06-06
5764614858704116186,2025-06-07
5764614858704116186,2025-06-08
5764614858704116186,2025-06-27
5764614858704116186,2025-06-28
5764615010830211364,2025-09-25
5836672162506749888,2025-10-24
5836672477688190152,2025-10-05
5836672477688190152,2025-10-15
5908729607245342097,2025-10-09
5919081127676350592,2025-08-27
5919328751150185280,2025-10-15
5980787364025192643,2025-09-20
5980787599406315050,2025-09-09
5980787599406315060,2025-08-23
5989799398687552961,2025-07-09
6052843385257647256,2025-07-13
6052843385257647256,2025-07-15
6052843423965704425,2025-10-17
6052843423965704425,2025-10-22
6052843423965704462,2025-07-11
6052843423965704462,2025-08-16
6052843423965704462,2025-10-21
6052843423965704468,2025-09-09
6052843423965704501,2025-10-13
6052843423965704511,2025-07-10
6052843423965704511,2025-08-08
6052843423965704632,2025-09-30
6052843423965704808,2025-07-22
6052843423965704808,2025-08-29
6052843423965704808,2025-10-08
6061856428691210627,2025-10-19
6133914376630410496,2025-10-01
6133915001473537600,2025-10-02
6196958805535046283,2025-06-23
6196958805535046283,2025-10-06
6196960145816224397,2025-08-16
6196961100373024751,2025-06-28
6205969366230461440,2025-07-25
6341072931965192050,2025-10-06
6341074104264851725,2025-06-04
6341074104264852173,2025-09-21
6341074104264852773,2025-09-19
6341074104264853588,2025-10-04
6341074104264853846,2025-10-01
6341074104264854133,2025-07-11
6341074104264855487,2025-10-05
6350087783588510913,2025-10-26
6413133733194254145,2025-08-31
6495489739328867520,2025-07-04
6557246880847484935,2025-08-16
6557246880847484935,2025-08-17
6557248456781430976,2025-10-24
6566258848326450193,2025-09-09
6629304165209876323,2025-09-30
6629304165209876323,2025-10-06
6629304165209876489,2025-08-30
6629304165209876517,2025-07-02
6629304165209876517,2025-07-25
6629304165209876610,2025-07-14
6629304165209876610,2025-09-14
6629304165209876826,2025-07-02
6629304165209876826,2025-07-10
6629304165209877199,2025-06-22
6629304165209877269,2025-08-13
6629304165209877384,2025-07-12
6629304165209877571,2025-09-07
6629304165209877635,2025-07-20
6629304165209877741,2025-06-02
6629304165209877741,2025-10-20
6629304165209877823,2025-08-30
6629304165209877951,2025-08-25
6629304165209878003,2025-07-23
6629304165209878011,2025-06-02
6629304165209878404,2025-08-06
6629304165209878736,2025-07-25
6629304165209878911,2025-08-01
6629305709414973060,2025-09-26
6639455266640015296,2025-08-04
6701361217345430160,2025-07-17
6701361217345430821,2025-07-18
6701361217345430821,2025-08-06
6701361217345430821,2025-08-07
6701361217345430821,2025-10-19
6710374421143547864,2025-06-16
6710377279947371714,2025-10-22
6710896979337277376,2025-07-05
6711600666779088385,2025-08-11
6782681557186412288,2025-10-04
6854490180147622592,2025-10-29
6927737971451443776,2025-07-25
6927737971451443776,2025-10-03
6927906236549392704,2025-09-03
6927906236549392704,2025-09-15
6927906236549392704,2025-09-18
6927906236549392704,2025-09-24
6927906236549392704,2025-10-09
6927906236549392704,2025-10-11
6998605659912808066,2025-10-15
6998872468341592896,2025-06-04
6999901611225248000,2025-07-04
6999901611225248000,2025-07-19
6999901611225248000,2025-09-13
6999901611225248000,2025-09-24
6999901611225248000,2025-10-04
6999901611225248000,2025-10-23
7000147901829877888,2025-07-02
7000147901829877888,2025-07-24
7070663956211113984,2025-06-29
7143550849188499200,2025-07-14
7277824441388353957,2025-07-03
7277824441388353957,2025-07-04
7277824441388353957,2025-07-30
7277824441388353957,2025-08-10
7286835588169424548,2025-10-01
7286836340193220480,2025-10-23
7359688153861531776,2025-08-24
7421937771504245228,2025-08-25
7430951976169582016,2025-06-04
7430951976169582016,2025-08-25
7493995542453564627,2025-10-25
7575065665715701012,2025-08-14
7575067590023580160,2025-07-07
7575067590023580160,2025-09-10
7576643904375722625,2025-09-06
7576643904375722625,2025-09-08
7576643904375722625,2025-09-11
7576643904375722625,2025-09-12
7576643904375722625,2025-09-13
7576643904375722625,2025-09-14
7576643904375722625,2025-09-18
7576643904375722625,2025-09-21
7576643904375722625,2025-09-24
7576643904375722625,2025-09-26
7576643904375722625,2025-09-27
7576643904375722625,2025-09-29
7576643904375722625,2025-09-30
7576643904375722625,2025-10-01
7576643904375722625,2025-10-05
7576643904375722625,2025-10-14
7576643904375722625,2025-10-19
7576643904375722625,2025-10-31
7647122977748702231,2025-08-04
7719181970776511680,2025-06-17
7719181970776511680,2025-08-24
7782225885427882401,2025-07-01
7782225973962770785,2025-06-20
7782225973962771393,2025-10-23
7782225973962771416,2025-06-09
7782225973962771416,2025-06-19
7782225973962771416,2025-06-23
7782225973962771564,2025-09-03
7791239233038936448,2025-07-31
7791241212634245504,2025-09-06
7791241212634245504,2025-09-08
7998400403885849124,2025-06-13
7998400403885849124,2025-08-09
7998400403885849124,2025-09-06
7998400403885849124,2025-09-24
7998400403885849124,2025-09-27
7998400403885849124,2025-10-02
8007412031770014786,2025-06-26
8142515912690094339,2025-06-23
8151526594975941451,2025-08-26
8214571128982578575,2025-08-14
8214571128982578588,2025-10-04
8214572793405073281,2025-08-03
8214572793405073281,2025-08-10
8214572793405073281,2025-10-13
8214572793405073281,2025-10-20
8214572793405073281,2025-10-22
8223583918052939661,2025-10-23
8225047575261536961,2025-06-22
8295642745197945921,2025-06-09
8358687489347898503,2025-10-04
8367700322646860865,2025-10-06
8367700483004796672,2025-08-04
8367701467274729984,2025-09-19
8367701594454496128,2025-08-06
8430745724812681766,2025-07-26
8430746051069922433,2025-06-08
8502803222098580909,2025-09-14
8502803222098581352,2025-06-09
8502803222098581352,2025-08-18
8502804186997688729,2025-06-07
8502804186997688729,2025-06-08
8502804186997688729,2025-06-14
8502804186997688729,2025-09-09
8511814487741101120,2025-09-10
8511816616643963712,2025-10-20
8655932031432152448,2025-10-08
8656829890936839488,2025-07-29
8656829890936839488,2025-07-30
8656829890936839488,2025-08-17
8727988444133190016,2025-09-20
8727990074356778752,2025-07-21
8800233530290716352,2025-07-13
8800233530290716352,2025-10-30
8801587602994100992,2025-07-29
8863091449405593921,2025-08-26
8872102004503143591,2025-07-05
8872102004503143591,2025-08-16
8872102004503143591,2025-08-17
8872102004503143591,2025-08-18
8872102004503143591,2025-08-21
8872102004503143591,2025-09-28
8872102004503143591,2025-10-05
8872102004503143591,2025-10-06
8872102004503143591,2025-10-07
8872102004503143591,2025-10-13
8872102004503143591,2025-10-21
8872102004503143591,2025-10-29
8872102004503143591,2025-10-30
8872102004503143605,2025-06-20
8872102557463947648,2025-06-17
8872102557463947648,2025-09-22
8872102557463947648,2025-09-28
8872103851395035073,2025-06-03
8872104940726666496,2025-08-17
8872104940726666496,2025-08-25
8872104940726666496,2025-09-01
8935147025123496452,2025-10-07
8935148960500687296,2025-10-14
9007204635750639324,2025-09-26
9007204939872883111,2025-07-05
9016217269999190224,2025-09-02
9079274105886287744,2025-06-16
9089272665615484736,2025-07-12
9089272665615484736,2025-08-17
